chr left right
PEX10 chr1 2336236 2345236
PLCH2 chr1 2357419 2436969
RP3-395M20.2 chr1 2423739 2424697
RP3-395M20.3 chr1 2424876 2425918
PANK4 chr1 2439972 2458039
HES5 chr1 2460184 2461684
RP3-395M20.12 chr1 2477904 2478899
TNFRSF14 chr1 2487078 2496821
RP3-395M20.7 chr1 2497849 2501327
RP3-395M20.9 chr1 2512999 2515972
FAM213B chr1 2517930 2522908
MMEL1 chr1 2522078 2564481
TTC34 chr1 2567415 2718286
LINC00982 chr1 2976179 2985001
PRDM16 chr1 2985732 3355185
ARHGEF16 chr1 3370990 3397677
MEGF6 chr1 3406484 3528059
RP11-46F15.2 chr1 3539754 3541307
TPRG1L chr1 3541566 3546691
WRAP73 chr1 3547331 3569325
TP73 chr1 3569084 3652765
RP5-1092A11.5 chr1 3575502 3585336
TP73-AS1 chr1 3652548 3663900
SMIM1 chr1 3689352 3692546
LRRC47 chr1 3696784 3713068
RP1-286D6.5 chr1 3701572 3702102
CEP104 chr1 3728645 3773778
DFFB chr1 3773845 3801993
C1orf174 chr1 3805689 3816857
LINC01134 chr1 3816936 3833789
AJAP1 chr1 4714792 4852594
RP11-154H17.1 chr1 5647428 5728355
NPHP4 chr1 5922871 6052533
KCNAB2 chr1 6051526 6161253
CHD5 chr1 6161853 6240183
RPL22 chr1 6241329 6269449
RP1-120G22.11 chr1 6264900 6265840
RNF207 chr1 6265535 6281359
ICMT chr1 6281253 6296032
LINC00337 chr1 6296300 6299504
GPR153 chr1 6307406 6321035
ACOT7 chr1 6324329 6454451
RP1-202O8.3 chr1 6453615 6454451
HES2 chr1 6472478 6484730
ESPN chr1 6484848 6521430
RP1-202O8.2 chr1 6503094 6507066
TNFRSF25 chr1 6521211 6526255
PLEKHG5 chr1 6526152 6580121
NOL9 chr1 6581407 6614595
TAS1R1 chr1 6615241 6639817
ZBTB48 chr1 6640061 6649340
KLHL21 chr1 6650784 6674667
PHF13 chr1 6673745 6684093
THAP3 chr1 6684926 6695646
DNAJC11 chr1 6694228 6761984
RP11-242F24.1 chr1 6784697 6790072
RP11-312B8.1 chr1 6843952 6844903
CAMTA1 chr1 6845384 7829766
RP11-338N10.1 chr1 7753184 7754904
RP11-338N10.2 chr1 7758363 7758932
RP11-338N10.3 chr1 7760764 7761030
VAMP3 chr1 7831329 7841492
PER3 chr1 7844380 7905237
RP3-467L1.4 chr1 7870302 7887402
UTS2 chr1 7903143 7913572
TNFRSF9 chr1 7979907 8000926
PARK7 chr1 8014351 8045565
ERRFI1 chr1 8064464 8086368
RP11-431K24.1 chr1 8086798 8182762
RP11-431K24.4 chr1 8278250 8280589
SLC45A1 chr1 8377886 8404227
RERE chr1 8412457 8877702
RP5-1115A15.1 chr1 8484705 8494898
RP4-633I8.4 chr1 8865919 8867110
ENO1 chr1 8921061 8939308
ENO1-AS1 chr1 8938894 8939953
CA6 chr1 9005926 9035151
SLC2A7 chr1 9063359 9086404
SLC2A5 chr1 9095166 9148537
GPR157 chr1 9160364 9189229
RP3-510D11.1 chr1 9242066 9262678
RP3-510D11.2 chr1 9242263 9252148
H6PD chr1 9294834 9331396
SPSB1 chr1 9352939 9429591
SLC25A33 chr1 9599541 9645237
TMEM201 chr1 9648932 9674935
PIK3CD chr1 9711790 9789172
C1orf200 chr1 9712668 9714644
RP11-558F24.4 chr1 9732484 9747613
CLSTN1 chr1 9789084 9884584
CTNNBIP1 chr1 9908334 9970394
RP11-84A14.5 chr1 9908376 9910212
LZIC chr1 9982173 10003465
NMNAT1 chr1 10003486 10045559
RBP7 chr1 10057264 10076078
UBE4B chr1 10092890 10241297
KIF1B chr1 10270863 10441661
PGD chr1 10458649 10480201
RP4-736L20.3 chr1 10489938 10490734
APITD1 chr1 10490159 10512210
APITD1-CORT chr1 10490159 10512210
CORT chr1 10509776 10511959
DFFA chr1 10516579 10532583
RP5-1113E3.3 chr1 10518612 10519395
PEX14 chr1 10532345 10690815
CASZ1 chr1 10696661 10856707
RP4-734G22.3 chr1 10699298 10714390
C1orf127 chr1 11006528 11042094
TARDBP chr1 11072414 11085796
MASP2 chr1 11086580 11107290
RP4-635E18.8 chr1 11089716 11090585
SRM chr1 11114641 11120081
EXOSC10 chr1 11126675 11159938
RP4-635E18.7 chr1 11128528 11133154
RP4-635E18.6 chr1 11159732 11162157
MTOR chr1 11166592 11322564
MTOR-AS1 chr1 11203955 11209594
ANGPTL7 chr1 11249398 11256038
UBIAD1 chr1 11333263 11356106
PTCHD2 chr1 11539223 11597641
RP1-69M21.2 chr1 11669588 11673412
FBXO2 chr1 11708424 11715842
FBXO44 chr1 11714432 11723384
FBXO6 chr1 11724181 11734411
MAD2L2 chr1 11734537 11751707
DRAXIN chr1 11751786 11785914
AGTRAP chr1 11796141 11814859
C1orf167 chr1 11821844 11849642
RP11-56N19.5 chr1 11837134 11839676
MTHFR chr1 11845780 11866977
CLCN6 chr1 11866207 11903201
NPPA-AS1 chr1 11901074 11908136
NPPA chr1 11905766 11908402
KIAA2013 chr1 11979648 11986485
PLOD1 chr1 11994262 12035595
MFN2 chr1 12040238 12073571
MIIP chr1 12079523 12092102
TNFRSF8 chr1 12123434 12204264
TNFRSF1B chr1 12227060 12269285
VPS13D chr1 12290124 12572099
RP5-888M10.2 chr1 12587766 12588462
DHRS3 chr1 12627939 12677737
RP11-474O21.5 chr1 12678906 12679250
C1orf158 chr1 12806163 12823847
HNRNPCL1 chr1 12907261 12908578
LRRC38 chr1 13801445 13840543
PDPN chr1 13909960 13944452
PRDM2 chr1 14026693 14151574
KAZN chr1 14925200 15444539
TMEM51 chr1 15479028 15546976
FHAD1 chr1 15573768 15726779
RP3-467K16.2 chr1 15653176 15670372
RP3-467K16.7 chr1 15660662 15661960
RP3-467K16.4 chr1 15729475 15735929
EFHD2 chr1 15736391 15756839
CTRC chr1 15764935 15775737
CELA2A chr1 15783223 15798586
CASP9 chr1 15817327 15853029
DNAJC16 chr1 15853308 15918874
RP4-680D5.8 chr1 15892106 15892451
AGMAT chr1 15898848 15911605
RP4-680D5.2 chr1 15912631 15930121
DDI2 chr1 15943995 15995539
RP4-680D5.9 chr1 16009368 16009623
PLEKHM2 chr1 16010827 16061264
RP11-288I21.1 chr1 16049214 16063391
SLC25A34 chr1 16062900 16067891
TMEM82 chr1 16068917 16074477
FBLIM1 chr1 16083102 16113089
RP11-169K16.9 chr1 16160560 16174642
SPEN chr1 16174359 16266955
ZBTB17 chr1 16268364 16302627
C1orf64 chr1 16330731 16335302
CLCNKA chr1 16345370 16360545
FAM131C chr1 16384264 16400127
EPHA2 chr1 16450832 16482582
RP11-276H7.2 chr1 16481706 16483824
RP11-276H7.3 chr1 16485761 16488378
ARHGEF19-AS1 chr1 16524349 16524852
ARHGEF19 chr1 16524349 16539104
C1orf134 chr1 16555368 16556038
RSG1 chr1 16558195 16563657
FBXO42 chr1 16573334 16678949
SZRD1 chr1 16679070 16724640
SPATA21 chr1 16713612 16763919
NECAP2 chr1 16767167 16786573
RP4-798A10.2 chr1 16787443 16794976
RP4-798A10.7 chr1 16841140 16842249
RP4-798A10.4 chr1 16847189 16848291
U1 chr1 16860381 16862144
NBPF1 chr1 16888814 16940057
CROCCP2 chr1 16944751 16971178
CROCC chr1 17066768 17299474
RP11-108M9.4 chr1 17215033 17216144
RP11-108M9.6 chr1 17230834 17231271
MFAP2 chr1 17300997 17307330
RP1-37C10.3 chr1 17305421 17331586
ATP13A2 chr1 17312453 17338423
SDHB chr1 17345217 17380665
PADI2 chr1 17393256 17445948
PADI4 chr1 17634690 17690499
AC004824.2 chr1 17655507 17676070
RP1-20B21.4 chr1 17733256 17733878
RCC2 chr1 17733256 17766220
ARHGEF10L chr1 17866330 18024369
ACTL8 chr1 18081808 18153558
KLHDC7A chr1 18807424 18812478
ALDH4A1 chr1 19197926 19229275
IFFO2 chr1 19230775 19283180
UBR4 chr1 19401000 19536770
RP1-43E13.2 chr1 19536995 19567198
EMC1 chr1 19542158 19578046
MRTO4 chr1 19578033 19586622
AKR7A3 chr1 19609052 19615744
AKR7A2 chr1 19630459 19638640
PQLC2 chr1 19638820 19655794
CAPZB chr1 19665267 19812066
RP5-1056L3.1 chr1 19918296 19923326
MINOS1-NBL1 chr1 19923473 19984549
MINOS1 chr1 19923477 19956314
NBL1 chr1 19967048 19984945
HTR6 chr1 19991780 20006055
TMCO4 chr1 20008706 20126438
OTUD3 chr1 20209006 20239438
PLA2G5 chr1 20354672 20417683
PLA2G2D chr1 20438432 20446050
PLA2G2F chr1 20465819 20476879
RP3-340N1.2 chr1 20480831 20487061
PLA2G2C chr1 20487746 20503917
UBXN10-AS1 chr1 20510735 20512979
UBXN10 chr1 20512578 20522541
VWA5B1 chr1 20617412 20681387
RP4-745E8.2 chr1 20620704 20649680
LINC01141 chr1 20687072 20757727
CAMK2N1 chr1 20808884 20812713
MUL1 chr1 20825943 20834654
CDA chr1 20915441 20945401
PINK1 chr1 20959948 20978004
PINK1-AS chr1 20969150 20978686
DDOST chr1 20978270 20988000
KIF17 chr1 20990507 21044510
SH2D5 chr1 21046225 21059330
RP5-930J4.2 chr1 21059373 21060445
HP1BP3 chr1 21069154 21113816
RP5-930J4.4 chr1 21069480 21070455
EIF4G3 chr1 21132963 21503377
ECE1 chr1 21543740 21671997
RP3-329E20.2 chr1 21592575 21593744
RP5-1071N3.1 chr1 21619783 21626267
NBPF3 chr1 21766621 21811498
ALPL chr1 21835858 21904905
RAP1GAP chr1 21922708 21995801
USP48 chr1 22004791 22110099
LDLRAD2 chr1 22138758 22151714
HSPG2 chr1 22148738 22263790
RP1-224A6.3 chr1 22350487 22351461
LINC00339 chr1 22351681 22357716
CDC42 chr1 22379120 22419437
RP1-224A6.9 chr1 22427106 22427853
WNT4 chr1 22443798 22470462
ZBTB40 chr1 22778344 22857650
EPHA8 chr1 22890057 22930087
C1QA chr1 22962999 22966101
C1QC chr1 22970123 22974603
C1QB chr1 22979255 22988031
EPHB2 chr1 23037332 23241818
RP1-74M1.3 chr1 23243175 23247993
C1orf234 chr1 23337327 23342343
KDM1A chr1 23345941 23410182
RP1-184J9.2 chr1 23346640 23414551
LUZP1 chr1 23410516 23504301
HTR1D chr1 23516993 23521222
RP5-1057J7.6 chr1 23607802 23613245
HNRNPR chr1 23630264 23670829
ZNF436 chr1 23685941 23695935
C1orf213 chr1 23695490 23698332
RP5-1057J7.7 chr1 23704873 23705522
TCEA3 chr1 23707554 23751233
ASAP3 chr1 23755056 23811061
E2F2 chr1 23832922 23857712
RP1-150O5.3 chr1 23875630 23877406
ID3 chr1 23884409 23886285
MDS2 chr1 23907985 23967058
RPL11 chr1 24018269 24022915
TCEB3 chr1 24069645 24088549
RP5-886K2.3 chr1 24086872 24104777
PITHD1 chr1 24104895 24114722
LYPLA2 chr1 24117460 24122029
GALE chr1 24122089 24127271
HMGCL chr1 24128375 24165110
FUCA1 chr1 24171567 24194784
CNR2 chr1 24197016 24285549
RP11-4M23.3 chr1 24233601 24234375
PNRC2 chr1 24285599 24289952
SRSF10 chr1 24291294 24307417
MYOM3 chr1 24382525 24438665
IL22RA1 chr1 24446261 24469611
IFNLR1 chr1 24480647 24514449
RP11-10N16.2 chr1 24526730 24538183
GRHL3 chr1 24645812 24690972
STPG1 chr1 24683489 24743424
NIPAL3 chr1 24742284 24799466
RCAN3 chr1 24829387 24867530
RP4-594I10.3 chr1 24865292 24882515
NCMAP chr1 24882602 24935819
SRRM1 chr1 24958207 24999758
CLIC4 chr1 25071848 25170815
RUNX3 chr1 25226002 25291612
RP11-84D1.2 chr1 25294914 25297356
RP4-799D16.1 chr1 25370198 25439611
RP4-706G24.1 chr1 25534630 25535360
SYF2 chr1 25549170 25558993
C1orf63 chr1 25568728 25664704
RP3-465N24.6 chr1 25574328 25574812
RHD chr1 25598884 25656936
TMEM50A chr1 25664408 25688852
RHCE chr1 25688740 25756683
TMEM57 chr1 25757388 25826700
LDLRAP1 chr1 25870071 25895377
RP11-70P17.1 chr1 25907969 25916847
MAN1C1 chr1 25943959 26112698
RP1-187B23.1 chr1 25971035 25985602
SEPN1 chr1 26126667 26144713
RP1-317E23.3 chr1 26143240 26146263
MTFR1L chr1 26145131 26159432
AL020996.1 chr1 26145212 26147288
AUNIP chr1 26158414 26185903
RP1-125I3.2 chr1 26186104 26189911
PAQR7 chr1 26187701 26197744
STMN1 chr1 26210672 26233482
PAFAH2 chr1 26286258 26324648
SCARNA17 chr1 26332497 26332621
EXTL1 chr1 26346375 26362955
SLC30A2 chr1 26363743 26372624
TRIM63 chr1 26377795 26394927
PDIK1L chr1 26437664 26452034
FAM110D chr1 26485511 26489119
ZNF593 chr1 26496362 26498551
RP11-96L14.7 chr1 26496438 26498312
CNKSR1 chr1 26503894 26516377
CATSPER4 chr1 26517052 26529459
CEP85 chr1 26560691 26605299
SH3BGRL3 chr1 26605667 26608007
UBXN11 chr1 26607819 26644854
CD52 chr1 26644448 26647014
AIM1L chr1 26648350 26680621
ZNF683 chr1 26688125 26701013
LIN28A chr1 26737269 26756213
DHDDS chr1 26758773 26797785
RP3-476K8.3 chr1 26789247 26793773
HMGN2 chr1 26798941 26802463
RPS6KA1 chr1 26856252 26901521
RP5-968P14.2 chr1 27018623 27020622
ARID1A chr1 27022524 27108595
PIGV chr1 27113963 27124889
ZDHHC18 chr1 27153201 27184093
SFN chr1 27189633 27190947
RP1-50O24.6 chr1 27202624 27204736
GPN2 chr1 27202624 27216788
GPATCH3 chr1 27216979 27226957
NUDC chr1 27226729 27273353
NR0B2 chr1 27237980 27240457
C1orf172 chr1 27276053 27286897
TRNP1 chr1 27320198 27327389
FAM46B chr1 27331511 27339327
SLC9A1 chr1 27425306 27493472
RP11-40H20.4 chr1 27555597 27560843
WDTC1 chr1 27561007 27635110
TMEM222 chr1 27648651 27662891
SYTL1 chr1 27668513 27680421
MAP3K6 chr1 27681675 27693383
FCN3 chr1 27695603 27701315
CD164L2 chr1 27705666 27709870
GPR3 chr1 27719148 27722318
WASF2 chr1 27730730 27816669
RP4-752I6.1 chr1 27783709 27786093
RP1-159A19.4 chr1 27852316 27857072
AHDC1 chr1 27860546 27930942
FGR chr1 27938575 27961788
RP11-288L9.1 chr1 27986839 27989233
IFI6 chr1 27992572 27998729
RP11-288L9.4 chr1 27995979 27996787
FAM76A chr1 28052490 28089633
STX12 chr1 28099694 28150963
PPP1R8 chr1 28157289 28178187
AL109927.1 chr1 28177085 28177255
THEMIS2 chr1 28199055 28213196
RPA2 chr1 28218035 28241257
SMPDL3B chr1 28261504 28285668
RP11-460I13.2 chr1 28265386 28286704
XKR8 chr1 28285973 28294607
EYA3 chr1 28296855 28415207
PTAFR chr1 28473677 28520447
DNAJC8 chr1 28525967 28559536
AL353354.2 chr1 28527070 28527419
ATPIF1 chr1 28562620 28573417
RP5-1092A3.4 chr1 28566020 28567964
RP5-1092A3.5 chr1 28573655 28574079
SESN2 chr1 28586038 28609002
MED18 chr1 28655513 28662476
PHACTR4 chr1 28696114 28826881
RCC1 chr1 28832455 28865812
TRNAU1AP chr1 28879597 28905051
SNHG12 chr1 28905050 28909495
TAF12 chr1 28915835 28969597
RAB42 chr1 28918712 28921955
RNU11 chr1 28975112 28975245
GMEB1 chr1 28995244 29045865
YTHDF2 chr1 29063133 29096287
RP1-212P9.2 chr1 29194087 29197779
RP1-212P9.3 chr1 29196995 29203848
EPB41 chr1 29213603 29446553
TMEM200B chr1 29445940 29450447
RP11-242O24.3 chr1 29471006 29473506
SRSF4 chr1 29474255 29508499
RP11-242O24.5 chr1 29479001 29479503
MECR chr1 29519385 29557454
RP11-467D18.2 chr1 29550445 29551328
PTPRU chr1 29563028 29653325
MATN1 chr1 31184124 31196434
MATN1-AS1 chr1 31191351 31199674
LAPTM5 chr1 31205316 31230667
SDC3 chr1 31342314 31381608
PUM1 chr1 31404353 31538838
NKAIN1 chr1 31652592 31712401
SNRNP40 chr1 31732417 31769662
ZCCHC17 chr1 31769842 31837783
RP11-266K22.2 chr1 31805914 31819646
FABP3 chr1 31838472 31849697
SERINC2 chr1 31882412 31907525
RP11-439L8.3 chr1 31971841 31974167
RP11-439L8.4 chr1 31984036 31989846
TINAGL1 chr1 32042116 32053288
PEF1 chr1 32095463 32110497
RP11-73M7.6 chr1 32109650 32125539
RP11-73M7.9 chr1 32110295 32114972
COL16A1 chr1 32117848 32169920
BAI2 chr1 32192718 32230494
RP11-84A19.3 chr1 32254731 32256923
SPOCD1 chr1 32256023 32281652
RP11-84A19.2 chr1 32307620 32321169
RP11-84A19.4 chr1 32317514 32387442
PTP4A2 chr1 32372022 32410457
AL136115.1 chr1 32379174 32380745
RP4-534N18.2 chr1 32398621 32399576
KHDRBS1 chr1 32479430 32526451
RP11-277A4.4 chr1 32517892 32539075
TMEM39B chr1 32537632 32568467
KPNA6 chr1 32573639 32642169
TXLNA chr1 32645287 32663886
CCDC28B chr1 32665987 32670988
RP4-622L5.7 chr1 32670370 32672415
IQCC chr1 32671236 32674288
DCDC2B chr1 32674695 32681797
TMEM234 chr1 32680073 32687972
EIF3I chr1 32687529 32697205
FAM167B chr1 32712834 32714457
LCK chr1 32716840 32751766
HDAC1 chr1 32757687 32799236
MARCKSL1 chr1 32799433 32801980
TSSK3 chr1 32817122 32829913
FAM229A chr1 32826871 32829879
BSDC1 chr1 32830704 32860332
ZBTB8B chr1 32930670 32962287
ZBTB8A chr1 33005028 33071540
ZBTB8OS chr1 33065773 33116504
RBBP4 chr1 33116743 33151812
SYNC chr1 33145507 33169197
RP11-114B7.6 chr1 33183335 33190838
KIAA1522 chr1 33207486 33240571
YARS chr1 33240840 33283754
S100PBP chr1 33282368 33324476
FNDC5 chr1 33327869 33338083
HPCA chr1 33351595 33364042
TMEM54 chr1 33360195 33367039
RNF19B chr1 33402046 33430286
FKSG48 chr1 33439268 33439642
RP1-117O3.2 chr1 33452676 33498070
AK2 chr1 33473585 33546597
ADC chr1 33546705 33586131
TRIM62 chr1 33611003 33647660
ZNF362 chr1 33722146 33766320
RP11-415J8.7 chr1 33726813 33727281
RP11-415J8.3 chr1 33772967 33791644
PHC2 chr1 33789224 33896653
RP11-415J8.5 chr1 33815953 33828846
ZSCAN20 chr1 33938246 33962107
CSMD2 chr1 33979609 34631443
SMIM12 chr1 35178338 35325417
GJA4 chr1 35258599 35261348
RP5-997D16.2 chr1 35316295 35317156
DLGAP3 chr1 35331037 35395186
RP11-244H3.4 chr1 35447134 35497342
ZMYM6NB chr1 35447136 35450954
ZMYM6 chr1 35449523 35497569
ZMYM1 chr1 35525387 35581460
SFPQ chr1 35641979 35658749
ZMYM4 chr1 35734568 35887659
ZMYM4-AS1 chr1 35824423 35831678
KIAA0319L chr1 35899091 36023551
NCDN chr1 36023074 36032875
RP4-728D4.2 chr1 36035414 36043330
TFAP2E chr1 36038971 36060929
PSMB2 chr1 36067185 36107445
C1orf216 chr1 36179476 36185073
CLSPN chr1 36185819 36235568
RP11-435D7.3 chr1 36204990 36209177
AGO4 chr1 36273773 36323491
AGO1 chr1 36335409 36395211
RP4-789D17.5 chr1 36395321 36395716
AGO3 chr1 36396319 36538101
RP4-665N4.8 chr1 36457710 36479231
TEKT2 chr1 36549676 36553876
ADPRHL2 chr1 36554476 36559533
COL8A2 chr1 36560837 36590821
TRAPPC3 chr1 36602173 36615098
MAP7D1 chr1 36621180 36646450
THRAP3 chr1 36690017 36770958
SH3D21 chr1 36771988 36790484
EVA1B chr1 36787632 36789755
RP11-268J15.5 chr1 36789335 36794822
STK40 chr1 36805225 36851497
LSM10 chr1 36856839 36863493
OSCP1 chr1 36881428 36916086
MRPS15 chr1 36921319 36930038
CSF3R chr1 36931644 36948879
GRIK3 chr1 37261128 37499730
RP5-1180C18.1 chr1 37728340 37790701
LINC01137 chr1 37920480 37940012
ZC3H12A chr1 37940153 37949980
MEAF6 chr1 37958176 37980375
SNIP1 chr1 38000050 38019903
DNALI1 chr1 38022520 38032458
GNL2 chr1 38032417 38061536
RSPO1 chr1 38076951 38100595
C1orf109 chr1 38147242 38157914
CDCA8 chr1 38158090 38175391
EPHA10 chr1 38179552 38230805
MANEAL chr1 38259474 38266809
RP11-109P14.9 chr1 38265392 38266551
YRDC chr1 38268616 38273857
C1orf122 chr1 38272651 38275126
MTF1 chr1 38275239 38325292
RP11-109P14.10 chr1 38326369 38327252
INPP5B chr1 38326369 38412729
SF3A3 chr1 38422647 38456593
FHL3 chr1 38462442 38471278
UTP11L chr1 38474930 38490496
POU3F1 chr1 38509523 38512450
RP5-884C9.2 chr1 38512986 38584697
RP11-329N22.1 chr1 38940868 38942156
RRAGC chr1 39303870 39325495
RP5-864K19.4 chr1 39325672 39385068
MYCBP chr1 39328636 39347289
RHBDL2 chr1 39351479 39407471
AKIRIN1 chr1 39456895 39471731
NDUFS5 chr1 39491990 39500308
MACF1 chr1 39546988 39952849
RP11-420K8.1 chr1 39715510 39723321
KIAA0754 chr1 39876151 39882154
BMP8A chr1 39957318 39991607
RP11-69E11.4 chr1 39987952 40011859
PABPC4 chr1 40026488 40042462
RP11-69E11.8 chr1 40030832 40038875
HEYL chr1 40089825 40105617
NT5C1A chr1 40124793 40137710
HPCAL4 chr1 40144320 40157361
PPIE chr1 40157854 40229586
BMP8B chr1 40222854 40254533
OXCT2 chr1 40235195 40237020
RP1-118J21.25 chr1 40254648 40255843
TRIT1 chr1 40306723 40349183
MYCL chr1 40361098 40367928
RP1-118J21.5 chr1 40363417 40364770
MFSD2A chr1 40420802 40435638
CAP1 chr1 40505905 40538321
PPT1 chr1 40538379 40563375
RLF chr1 40627045 40706593
TMCO2 chr1 40711619 40717363
RP1-39G22.7 chr1 40722099 40723639
ZMPSTE24 chr1 40723779 40759856
COL9A2 chr1 40766159 40783488
SMAP2 chr1 40810522 40888998
ZFP69B chr1 40915774 40929390
ZFP69 chr1 40942887 40962015
RP11-656D10.3 chr1 40958829 40974333
EXO5 chr1 40974413 40982228
RP11-656D10.5 chr1 40980133 40980729
RP11-656D10.6 chr1 40981426 40982846
ZNF684 chr1 40997233 41013841
RIMS3 chr1 41086351 41131329
NFYC-AS1 chr1 41156052 41157738
NFYC chr1 41157320 41237275
KCNQ4 chr1 41249684 41306124
CITED4 chr1 41326729 41328018
RP5-1066H13.4 chr1 41329586 41342342
CTPS1 chr1 41445007 41478235
SLFNL1 chr1 41481269 41488909
SCMH1 chr1 41492872 41707826
RP11-399E6.1 chr1 41708045 41750533
FOXO6 chr1 41827594 41849262
RP11-399E6.4 chr1 41840676 41841341
EDN2 chr1 41944446 41950344
HIVEP3 chr1 41972036 42501596
GUCA2B chr1 42619092 42621495
GUCA2A chr1 42628362 42630389
FOXJ3 chr1 42642210 42801548
RIMKLA chr1 42846466 42888249
ZMYND12 chr1 42896000 42921938
PPCS chr1 42921788 42939056
CCDC30 chr1 42929001 43120335
PPIH chr1 43124096 43142429
RP5-994D16.3 chr1 43144406 43147325
YBX1 chr1 43148098 43168020
CLDN19 chr1 43198764 43205925
LEPRE1 chr1 43212006 43232755
C1orf50 chr1 43232940 43263968
RP5-994D16.9 chr1 43241484 43242461
CCDC23 chr1 43272723 43282954
ERMAP chr1 43282795 43310660
RP11-342M1.3 chr1 43300352 43312093
ZNF691 chr1 43312280 43318148
SLC2A1 chr1 43391052 43424530
SLC2A1-AS1 chr1 43424720 43449029
FAM183A chr1 43610824 43622067
EBNA1BP2 chr1 43629846 43736607
WDR65 chr1 43637820 43720029
TMEM125 chr1 43735665 43739673
C1orf210 chr1 43747554 43751288
TIE1 chr1 43766664 43788779
MPL chr1 43803478 43818443
RP1-92O14.3 chr1 43820355 43824329
CDC20 chr1 43824626 43828874
ELOVL1 chr1 43829068 43833696
MED8 chr1 43849588 43855479
RP1-92O14.6 chr1 43850784 43854826
SZT2 chr1 43855553 43918321
SZT2-AS1 chr1 43913447 43914315
HYI chr1 43916824 43919660
HYI-AS1 chr1 43919598 43922666
PTPRF chr1 43990858 44089343
KDM4A chr1 44115829 44171186
KDM4A-AS1 chr1 44165436 44173809
ST3GAL3 chr1 44171495 44396831
RP11-184I16.4 chr1 44175063 44193014
ARTN chr1 44398992 44402913
RP11-7O11.3 chr1 44410042 44412223
IPO13 chr1 44412611 44433694
DPH2 chr1 44435672 44439041
ATP6V0B chr1 44440159 44443967
